tag,name,description
physics.flu-dyn,Fluid Dynamics,"Fluid dynamics in physics focuses on turbulence, instabilities, incompressible/compressible flows, reacting flows. Aero/hydrodynamics, fluid-structure interactions, acoustics. Biological fluid dynamics, micro/nanofluidics, interfacial phenomena. Complex fluids, suspensions and granular flows, porous media flows. Geophysical flows, thermoconvective and stratified flows. Mathematical and computational methods for fluid dynamics, fluid flow models, experimental techniques."
physics.gen-ph,General Physics,"General physics focuses on multidisciplinary topics, speculative ideas, and proposals that cover more than one area of physics. It may also include foundational issues, philosophical aspects of physics, or novel theoretical frameworks that are not yet widely recognized or do not fall under the traditional disciplines."
physics.geo-ph,Geophysics,Geophysics focuses on atmospheric physics. Biogeosciences. Computational geophysics. Geographic location. Geoinformatics. Geophysical techniques. Hydrospheric geophysics. Magnetospheric physics. Mathematical geophysics. Planetology. Solar system. Solid earth geophysics. Space plasma physics. Mineral physics. High pressure physics.
physics.hist-ph,History and Philosophy of Physics,"History and philosophy of physics focuses on history and philosophy of all branches of physics, astrophysics, and cosmology, including appreciations of physicists."
physics.ins-det,Instrumentation and Detectors,"Instrumentation and detectors in physics focuses on instrumentation and detectors for research in natural science, including optical, molecular, atomic, nuclear and particle physics instrumentation and the associated electronics, services, infrastructure and control equipment."
physics.med-ph,Medical Physics,"Medical physics focuses on radiation therapy. Radiation dosimetry. Biomedical imaging modelling. Reconstruction, processing, and analysis. Biomedical system modelling and analysis. Health physics. New imaging or therapy modalities."
physics.optics,Optics,Optics in physics focuses on adaptive optics. Astronomical optics. Atmospheric optics. Biomedical optics. Cardinal points. Collimation. Doppler effect. Fiber optics. Fourier optics. Geometrical optics (Gradient index optics. Holography. Infrared optics. Integrated optics. Laser applications. Laser optical systems. Lasers. Light amplification. Light diffraction. Luminescence. Microoptics. Nano optics. Ocean optics. Optical computing. Optical devices. Optical imaging. Optical materials. Optical metrology. Optical microscopy. Optical properties. Optical signal processing. Optical testing techniques. Optical wave propagation. Paraxial optics. Photoabsorption. Photoexcitations. Physical optics. Physiological optics. Quantum optics. Segmented optics. Spectra. Statistical optics. Surface optics. Ultrafast optics. Wave optics. X-ray optics.
physics.plasm-ph,Plasma Physics,"Plasma physics focuses on fundamental plasma physics. Magnetically Confined Plasmas (includes magnetic fusion energy research). High Energy Density Plasmas (inertial confinement plasmas, laser-plasma interactions). Ionospheric, Heliophysical, and Astrophysical plasmas (includes sun and solar system plasmas). Lasers, Accelerators, and Radiation Generation. Low temperature plasmas and plasma applications (include dusty plasmas, semiconductor etching, plasma-based nanotechnology, medical applications). Plasma Diagnostics, Engineering and Enabling Technologies (includes fusion reactor design, heating systems, diagnostics, experimental techniques)."
physics.pop-ph,Popular Physics,"Popular physics focuses on explaining complex physics concepts in a way that is understandable without requiring advanced knowledge of the field. It may cover a wide range of subjects within physics and often aim to inform, educate, or inspire interest in physics among non-specialists."
physics.soc-ph,Physics and Society,"Physics and society focuses on structure, dynamics and collective behavior of societies and groups (human or otherwise). Quantitative analysis of social networks and other complex networks. Physics and engineering of infrastructure and systems of broad societal impact (e.g., energy grids, transportation networks)."
physics.space-ph,Space Physics,"Space physics focuses on space plasma physics. Heliophysics. Space weather. Planetary magnetospheres, ionospheres and magnetotail. Auroras. Interplanetary space. Cosmic rays. Synchrotron radiation. Radio astronomy."
quant-ph,Quantum Physics,"Quantum physics focuses on fundamental aspects of quantum mechanics, including quantum entanglement, quantum coherence, quantum cryptography, quantum computation, quantum information theory, and various other topics related to the quantum nature of physical systems."
q-bio.BM,Biomolecules,"Biomolecules in quantitative biology focuses on DNA, RNA, proteins, lipids, etc.; molecular structures and folding kinetics; molecular interactions; single-molecule manipulation."
q-bio.CB,Cell Behavior,Cell behavior in quantitative biology focuses on cell-cell signaling and interaction; morphogenesis and development; apoptosis; bacterial conjugation; viral-host interaction; immunology.
q-bio.GN,Genomics,"Genomics in quantitative biology focuses on DNA sequencing and assembly; gene and motif finding; RNA editing and alternative splicing; genomic structure and processes (replication, transcription, methylation, etc); mutational processes."
q-bio.MN,Molecular Networks,"Molecular networks in quantitative biology focuses on gene regulation, signal transduction, proteomics, metabolomics, gene and enzymatic networks."
q-bio.NC,Neurons and Cognition,"Neurons and cognition in quantitative biology focuses on synapse, cortex, neuronal dynamics, neural network, sensorimotor control, behavior, and attention."
q-bio.OT,Other Quantitative Biology,"Other quantitative biology interdisciplinary and quantitative biological studies that do not neatly fit into a specific category. It applies quantitative methods to biological problems and may include novel computational techniques, theoretical biology, mathematical models, and other innovative approaches to understanding biological systems."
q-bio.PE,Populations and Evolution,"Populations and evolution in quantitative biology focuses on population dynamics, spatio-temporal and epidemiological models, dynamic speciation, co-evolution, biodiversity, foodwebs, aging; molecular evolution and phylogeny; directed evolution; origin of life."
q-bio.QM,Quantitative Methods,"Quantitative methods in quantitative biology focuses on all experimental, numerical, statistical and mathematical contributions of value to biology."
q-bio.SC,Subcellular Processes,"Subcellular processes in quantitative biology focuses on assembly and control of subcellular structures (channels, organelles, cytoskeletons, capsules, etc.); molecular motors, transport, subcellular localization; mitosis and meiosis."
q-bio.TO,Tissues and Organs,"Tissues and organs in quantitative biology focuses on blood flow in vessels, biomechanics of bones, electrical waves, endocrine system, and tumor growth."
q-fin.CP,Computational Finance,"Computational finance in quantitative finance focuses on computational methods, including Monte Carlo, PDE, lattice and other numerical methods with applications to financial modeling."
q-fin.EC,Economics,"Economics in quantitative finance focuses on general methodological, applied, and empirical contributions to economics, including micro and macro economics, international economics, theory of the firm, labor economics, and other economic topics outside finance."
q-fin.GN,General Finance,General finance in quantitative finance focuses on the development of general quantitative methodologies with applications in finance.
q-fin.MF,Mathematical Finance,"Mathematical finance in quantitative finance focuses on mathematical and analytical methods of finance, including stochastic, probabilistic and functional analysis, algebraic, geometric and other methods."
q-fin.PM,Portfolio Management,"Portfolio management in quantitative finance focuses on security selection and optimization, capital allocation, investment strategies and performance measurement."
q-fin.PR,Pricing of Securities,"Pricing of securities in quantitative finance focuses on valuation and hedging of financial securities, their derivatives, and structured products."
q-fin.RM,Risk Management,"Risk management in quantitative finance focuses on measurement and management of financial risks in trading, banking, insurance, corporate and other applications."
q-fin.ST,Statistical Finance,"Statistical finance in quantitative finance focuses on statistical, econometric and econophysics analyses with applications to financial markets and economic data."
q-fin.TR,Trading and Market Microstructure,"Trading and market microstructure in quantitative finance focuses on market microstructure, liquidity, exchange and auction design, automated trading, agent-based modeling and market-making."
stat.AP,Applications,"Applications in statistics focuses on Biology, Education, Epidemiology, Engineering, Environmental Sciences, Medical, Physical Sciences, Quality Control, Social Sciences."
stat.CO,Computation,"Computation in statistics focuses on Algorithms, Simulation, Visualization."
stat.ME,Methodology,"Methodology in statistics focuses on Design, Surveys, Model Selection, Multiple Testing, Multivariate Methods, Signal and Image Processing, Time Series, Smoothing, Spatial Statistics, Survival Analysis, Nonparametric and Semiparametric Methods."
stat.ML,Machine Learning,"Machine learning in statistics focuses on machine learning (supervised, unsupervised, semi-supervised learning, graphical models, reinforcement learning, bandits, high dimensional inference, etc.) with a statistical or theoretical grounding."
stat.OT,Other Statistics,"Other statistics focuses on works that are either interdisciplinary, apply novel statistical methods in unique ways, or cover topics in statistics that are not adequately represented by the other, more specific categories."
stat.TH,Statistics Theory,"Statistics theory focuses on applied, computational and theoretical statistics. In particular, this includes statistical inference, regression, time series, multivariate analysis, data analysis, Markov chain Monte Carlo, design of experiments, and case studies. It also includes Asymptotics, Bayesian Inference, Decision Theory, Estimation, Foundations, Inference, Testing."
